,User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
0,14733363,0,68,190,94,29,105,40.8,231
1,11179863,0,69,179,79,5,88,38.7,26
2,11117088,0,41,175,85,25,100,40.7,143
3,12132339,0,60,186,94,21,97,40.4,134
4,15566424,0,66,171,79,11,90,40.0,58
5,13823829,0,53,182,85,2,82,38.1,7
6,12198133,0,39,182,82,4,82,38.6,11
7,15236104,0,46,169,67,11,89,40.2,43
8,16864285,0,50,188,86,14,94,40.2,74
9,11674347,0,67,189,93,8,77,39.2,29
10,14893804,0,48,182,85,1,80,37.7,3
11,17231597,0,29,176,75,10,83,39.7,24
12,10901446,0,33,173,73,7,78,39.3,12
13,15874362,0,42,190,88,3,83,38.9,10
14,15615743,0,38,171,75,2,81,38.2,5
15,13363046,0,20,183,88,16,97,40.5,69
16,19303479,0,22,182,84,29,114,41.0,200
17,14277710,0,44,184,86,25,114,40.8,200
18,10888188,0,61,183,86,1,81,38.3,4
19,15988442,0,63,179,80,25,108,40.8,197
20,16818429,0,33,184,86,8,86,39.9,26
21,16369885,0,24,195,98,20,96,40.6,92
22,17816292,0,48,152,59,2,79,38.0,5
23,15995398,0,35,193,93,10,83,39.7,30
24,17615432,0,21,168,71,3,78,38.5,3
25,10580576,0,53,191,101,21,106,40.7,159
26,18276801,0,28,198,101,19,95,40.6,89
27,13823902,0,70,188,89,7,82,39.3,31
28,12628985,0,45,175,79,27,104,40.6,173
29,17691320,0,45,158,61,20,97,40.7,99
30,13777657,0,45,169,69,22,113,40.6,166
31,14701930,0,31,182,83,20,101,40.9,107
32,11842710,0,53,192,93,5,90,39.1,25
33,12367125,0,67,192,92,24,108,40.7,200
34,19439155,0,57,178,83,2,79,38.1,7
35,17374074,0,47,165,72,20,96,40.3,103
36,19096890,0,62,197,101,17,103,40.3,128
37,19628507,0,41,187,89,23,99,40.7,130
38,11754581,0,44,189,88,13,94,40.0,65
39,19249559,0,25,202,100,9,94,39.8,39
